1	16
2	11
3	7
4	5
5	12
6	11
7	8
8	7
9	13
10	8
11	9
12	11
13	8
14	8
15	18
16	13
17	10
18	11
19	8
20	8
21	11
22	9
23	8
24	15
25	7
26	10
27	6
28	6
29	20
30	12
31	8
32	5
33	7
34	11
35	14
36	10
37	8
38	4
39	7
40	7
41	6
42	5
43	18
44	15
45	9
46	12
47	12
48	9
49	6
50	8
51	7
52	8
53	7
54	7
55	7
56	3
57	18
58	7
59	11
60	6
61	8
62	10
63	13
64	9
65	6
66	4
67	8
68	6
69	9
70	7
71	8
72	7
73	5
74	7
75	6
76	9
77	13
78	6
79	9
80	6
81	8
82	9
83	4
84	3
85	7
86	10
87	8
88	6
89	7
90	9
91	9
92	7
93	9
94	4
95	5
96	7
97	8
98	3
