day,car_number
20170102,10
20170102,11
20170102,12
20170102,6
20170102,15
20170102,7
20170102,3
20170102,8
20170102,5
20170102,8
20170102,10
20170102,6
20170102,8
20170102,9
20170102,11
20170102,12
20170102,11
20170102,9
20170102,9
20170102,9
20170102,5
20170102,13
20170102,11
20170102,12
20170102,6
20170102,10
20170102,9
20170102,6
20170102,6
20170102,5
20170102,7
20170102,5
20170102,9
20170102,11
20170102,11
20170102,7
20170102,5
20170102,5
20170102,13
20170102,20
20170102,12
20170102,17
20170102,16
20170102,15
20170102,12
20170102,15
20170102,13
20170102,14
20170102,11
20170102,7
20170102,11
20170102,10
20170102,1
20170102,1
20170102,2
20170102,2
20170102,2
20170102,3
20170102,0
20170102,3
20170102,3
20170102,0
20170102,0
20170102,4
20170102,1
20170102,0
20170102,13
20170102,8
20170102,14
20170102,10
20170102,14
20170102,12
20170102,13
20170102,13
20170102,8
20170102,13
20170102,15
20170102,13
20170102,4
20170102,14
20170102,12
20170102,10
20170102,16
20170102,11
20170102,14
20170102,13
20170102,13
20170102,17
20170102,10
20170102,16
20170102,15
20170102,16
20170102,5
20170102,13
20170102,6
20170102,9
20170102,4
20170102,10
20170102,6
20170102,10
20170102,10
20170102,8
20170102,7
20170102,11
20170102,10
20170102,10
20170102,2
20170102,5
20170102,7
20170102,8
20170102,9
20170102,10
20170102,8
20170102,5
20170102,9
20170102,9
20170102,5
20170102,2
20170102,5
20170102,3
20170102,7
20170102,4
20170102,5
20170102,7
20170102,8
20170102,2
20170102,5
20170102,2
20170102,1
20170102,5
20170102,4
20170102,7
20170102,5
20170102,6
20170102,5
20170102,3
20170102,4
20170102,10
20170102,9
20170102,8
20170102,2
20170102,7
20170102,10
20170102,4
20170102,6
20170102,11
20170102,7
20170102,9
20170102,7
20170102,7
20170102,3
20170102,12
20170102,9
20170102,11
20170102,5
20170102,10
20170102,9
20170102,5
20170102,10
20170102,7
20170102,6
20170102,7
20170102,10
20170102,5
20170102,5
20170102,12
20170102,11
20170102,14
20170102,12
20170102,11
20170102,13
20170102,13
20170102,8
20170102,11
20170102,15
20170102,9
20170102,13
20170102,17
20170102,3
20170102,2
20170102,3
20170102,2
20170102,0
20170102,2
20170102,2
20170102,1
20170102,2
20170102,4
20170102,1
20170102,1
20170102,2
20170102,2
20170102,24
20170102,26
20170102,23
20170102,31
20170102,26
20170102,22
20170102,22
20170102,24
20170102,28
20170102,25
20170102,14
20170102,14
20170102,19
20170102,8
20170102,5
20170102,5
20170102,8
20170102,11
20170102,7
20170102,9
20170102,10
20170102,8
20170102,10
20170102,8
20170102,4
20170102,13
20170102,6
20170102,5
20170102,14
20170102,13
20170102,17
20170102,20
20170102,13
20170102,14
20170102,16
20170102,12
20170102,12
20170102,12
20170102,11
20170102,13
20170102,7
20170102,9
20170102,13
20170102,14
20170102,15
20170102,17
20170102,17
20170102,11
20170102,17
20170102,11
20170102,14
20170102,5
20170102,14
20170102,14
20170102,6
20170102,8
20170102,4
20170102,8
20170102,4
20170102,11
20170102,4
20170102,10
20170102,12
20170102,5
20170102,9
20170102,2
20170102,7
20170102,8
20170102,7
20170102,9
20170102,4
20170102,8
20170102,2
20170102,12
20170102,9
20170102,13
20170102,8
20170102,19
20170102,14
20170102,14
20170102,13
20170102,7
20170102,5
20170102,7
20170102,14
20170102,16
20170102,14
20170102,11
20170102,12
20170102,13
20170102,19
20170102,19
20170102,14
20170102,19
20170102,12
20170102,11
20170102,17
20170102,15
20170102,19
20170102,27
20170102,20
20170102,14
20170102,27
20170102,27
20170102,28
20170102,30
20170102,29
20170102,31
20170102,19
20170102,29
20170102,17
20170102,23
20170102,12
20170102,17
20170102,14
20170102,16
20170102,22
20170102,12
20170102,15
20170102,18
20170102,13
20170102,14
20170102,12
20170102,12
20170102,17
20170102,9
20170102,3
20170102,10
20170102,12
20170102,19
20170102,14
20170102,14
20170102,12
20170102,8
20170102,14
20170102,13
20170102,9
20170102,12
20170102,13
20170102,9
20170102,12
20170102,10
20170102,10
20170102,17
20170102,13
20170102,14
20170102,17
20170102,22
20170102,14
20170102,11
20170102,14
20170102,21
20170102,22
20170102,19
20170102,8
20170102,4
20170102,6
20170102,6
20170102,3
20170102,5
20170102,10
20170102,6
20170102,4
20170102,6
20170102,4
20170102,4
20170102,6
20170102,3
20170102,16
20170102,34
20170102,36
20170102,26
20170102,35
20170102,38
20170102,29
20170102,35
20170102,37
20170102,42
20170102,29
20170102,23
20170102,29
20170102,22
20170102,6
20170102,12
20170102,10
20170102,15
20170102,11
20170102,11
20170102,9
20170102,23
20170102,10
20170102,11
20170102,13
20170102,18
20170102,14
20170102,19
20170102,10
20170102,9
20170102,7
20170102,8
20170102,10
20170102,8
20170102,5
20170102,14
20170102,9
20170102,7
20170102,9
20170102,10
20170102,11
20170102,8
20170102,3
20170102,5
20170102,2
20170102,3
20170102,0
20170102,3
20170102,3
20170102,3
20170102,3
20170102,5
20170102,3
20170102,1
20170102,2
20170102,5
20170103,1
20170103,5
20170103,4
20170103,7
20170103,6
20170103,5
20170103,7
20170103,6
20170103,2
20170103,5
20170103,3
20170103,5
20170103,0
20170103,3
20170103,0
20170103,2
20170103,1
20170103,1
20170103,0
20170103,3
20170103,4
20170103,2
20170103,1
20170103,2
20170103,2
20170103,1
20170103,3
20170103,4
20170103,16
20170103,8
20170103,9
20170103,2
20170103,11
20170103,7
20170103,10
20170103,9
20170103,8
20170103,11
20170103,14
20170103,6
20170103,8
20170103,12
20170103,4
20170103,8
20170103,6
20170103,4
20170103,10
20170103,6
20170103,3
20170103,5
20170103,7
20170103,7
20170103,10
20170103,13
20170103,12
20170103,9
20170103,6
20170103,6
20170103,5
20170103,7
20170103,7
20170103,4
20170103,4
20170103,6
20170103,3
20170103,5
20170103,2
20170103,4
20170103,5
20170103,4
20170103,4
20170103,4
20170103,9
20170103,4
20170103,5
20170103,3
20170103,3
20170103,5
20170103,6
20170103,5
20170103,4
20170103,8
20170103,5
20170103,6
20170103,6
20170103,0
20170103,1
20170103,5
20170103,6
20170103,4
20170103,6
20170103,1
20170103,4
20170103,8
20170103,8
20170103,2
20170103,3
20170103,4
20170103,5
20170103,3
20170103,8
20170103,3
20170103,4
20170103,4
20170103,4
20170103,3
20170103,8
20170103,6
20170103,2
20170103,3
20170103,3
20170103,3
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,0
20170103,6
20170103,13
20170103,4
20170103,5
20170103,1
20170103,5
20170103,2
20170103,8
20170103,3
20170103,3
20170103,4
20170103,11
20170103,6
20170103,7
20170103,6
20170103,8
20170103,6
20170103,6
20170103,8
20170103,7
20170103,4
20170103,11
20170103,9
20170103,13
20170103,19
20170103,10
20170103,6
20170103,13
20170103,4
20170103,2
20170103,2
20170103,2
20170103,5
20170103,1
20170103,1
20170103,4
20170103,3
20170103,3
20170103,3
20170103,4
20170103,9
20170103,3
20170103,4
20170103,5
20170103,9
20170103,7
20170103,9
20170103,10
20170103,12
20170103,5
20170103,2
20170103,9
20170103,10
20170103,10
20170103,13
20170103,7
20170103,6
20170103,7
20170103,4
20170103,2
20170103,5
20170103,4
20170103,5
20170103,10
20170103,3
20170103,6
20170103,14
20170103,9
20170103,5
20170103,6
20170103,3
20170103,6
20170103,5
20170103,7
20170103,4
20170103,4
20170103,6
20170103,13
20170103,8
20170103,11
20170103,11
20170103,8
20170103,6
20170103,13
20170103,6
20170103,3
20170103,2
20170103,0
20170103,2
20170103,2
20170103,3
20170103,2
20170103,3
20170103,1
20170103,3
20170103,3
20170103,3
20170103,0
20170103,7
20170103,10
20170103,7
20170103,16
20170103,13
20170103,10
20170103,14
20170103,15
20170103,11
20170103,11
20170103,15
20170103,14
20170103,12
20170103,11
20170103,10
20170103,9
20170103,8
20170103,5
20170103,8
20170103,9
20170103,4
20170103,3
20170103,4
20170103,10
20170103,4
20170103,3
20170103,6
20170103,1
20170103,11
20170103,18
20170103,11
20170103,7
20170103,11
20170103,8
20170103,5
20170103,12
20170103,13
20170103,17
20170103,13
20170103,16
20170103,9
20170103,5
20170103,12
20170103,20
20170103,10
20170103,10
20170103,13
20170103,8
20170103,5
20170103,14
20170103,12
20170103,20
20170103,14
20170103,18
20170103,10
20170103,5
20170103,6
20170103,9
20170103,13
20170103,9
20170103,10
20170103,13
20170103,15
20170103,7
20170103,2
20170103,14
20170103,10
20170103,16
20170103,15
20170103,15
20170103,11
20170103,13
20170103,12
20170103,8
20170103,8
20170103,9
20170103,10
20170103,14
20170103,17
20170103,13
20170103,24
20170103,14
20170103,13
20170103,20
20170103,7
20170103,7
20170103,6
20170103,8
20170103,6
20170103,9
20170103,9
20170103,6
20170103,7
20170103,6
20170103,8
20170103,12
20170103,11
20170103,13
20170103,12
20170103,21
20170103,16
20170103,18
20170103,18
20170103,19
20170103,18
20170103,14
20170103,18
20170103,10
20170103,18
20170103,26
20170103,13
20170103,12
20170103,0
20170103,0
20170103,2
20170103,4
20170103,1
20170103,2
20170103,3
20170103,0
20170103,4
20170103,4
20170103,2
20170103,1
20170103,1
20170103,2
20170103,9
20170103,20
20170103,14
20170103,19
20170103,15
20170103,12
20170103,9
20170103,11
20170103,11
20170103,15
20170103,12
20170103,17
20170103,14
20170103,11
20170103,12
20170103,22
20170103,15
20170103,16
20170103,16
20170103,11
20170103,10
20170103,13
20170103,12
20170103,15
20170103,13
20170103,19
20170103,15
20170103,10
20170103,15
20170103,8
20170103,5
20170103,6
20170103,1
20170103,4
20170103,8
20170103,12
20170103,5
20170103,4
20170103,6
20170103,11
20170103,8
20170103,6
20170103,13
20170103,14
20170103,14
20170103,10
20170103,3
20170103,3
20170103,7
20170103,6
20170103,5
20170103,6
20170103,14
20170103,4
20170103,6
20170103,7
20170103,12
20170103,10
20170103,4
20170103,2
20170103,4
20170103,9
20170103,4
20170103,4
20170103,4
20170103,6
20170103,5
20170103,6
20170103,3
20170103,4
20170103,7
20170103,9
20170103,12
20170103,10
20170103,10
20170103,10
20170103,4
20170103,5
20170103,9
20170103,8
20170103,13
20170103,5
20170103,6
20170103,8
20170103,12
20170103,18
20170103,11
20170103,15
20170103,8
20170103,13
20170103,7
20170103,6
20170103,8
20170103,12
20170103,8
20170103,4
20170103,7
20170103,5
20170103,10
20170103,14
20170103,11
20170103,5
20170103,10
20170103,11
20170103,8
20170103,14
20170103,15
20170103,22
20170103,23
20170103,13
20170103,17
20170103,12
20170103,2
20170103,2
20170103,4
20170103,3
20170103,0
20170103,2
20170103,6
20170103,5
20170103,4
20170103,6
20170103,3
20170103,3
20170103,3
20170103,2
20170103,13
20170103,25
20170103,14
20170103,26
20170103,22
20170103,34
20170103,20
20170103,26
20170103,21
20170103,24
20170103,25
20170103,29
20170103,18
20170103,24
20170103,9
20170103,10
20170103,11
20170103,7
20170103,8
20170103,4
20170103,3
20170103,11
20170103,7
20170103,13
20170103,15
20170103,12
20170103,8
20170103,9
20170103,12
20170103,19
20170103,16
20170103,19
20170103,16
20170103,14
20170103,15
20170103,14
20170103,16
20170103,19
20170103,24
20170103,23
20170103,15
20170103,19
20170103,12
20170103,15
20170103,14
20170103,14
20170103,16
20170103,12
20170103,14
20170103,17
20170103,19
20170103,15
20170103,23
20170103,20
20170103,16
20170103,19
20170103,6
20170103,8
20170103,9
20170103,8
20170103,3
20170103,8
20170103,10
20170103,9
20170103,9
20170103,13
20170103,8
20170103,9
20170103,9
20170103,9
20170103,14
20170103,20
20170103,12
20170103,7
20170103,10
20170103,8
20170103,14
20170103,9
20170103,12
20170103,10
20170103,13
20170103,17
20170103,9
20170103,7
20170103,20
20170103,14
20170103,17
20170103,15
20170103,15
20170103,12
20170103,14
20170103,19
20170103,14
20170103,13
20170103,18
20170103,18
20170103,24
20170103,21
20170103,28
20170103,34
20170103,37
20170103,24
20170103,24
20170103,20
20170103,33
20170103,22
20170103,17
20170103,18
20170103,18
20170103,26
20170103,25
20170103,26
20170103,23
20170103,15
20170103,12
20170103,8
20170103,10
20170103,15
20170103,8
20170103,12
20170103,18
20170103,12
20170103,12
20170103,6
20170103,10
20170103,6
20170103,15
20170103,10
20170103,8
20170103,11
20170103,11
20170103,7
20170103,6
20170103,13
20170103,11
20170103,10
20170103,10
20170103,14
20170103,14
20170103,11
20170103,18
20170103,16
20170103,17
20170103,21
20170103,16
20170103,11
20170103,14
20170103,16
20170103,22
20170103,19
20170103,22
20170103,15
20170103,23
20170103,16
20170103,10
20170103,8
20170103,12
20170103,10
20170103,3
20170103,3
20170103,6
20170103,7
20170103,3
20170103,7
20170103,7
20170103,4
20170103,3
20170103,6
20170103,39
20170103,41
20170103,35
20170103,28
20170103,37
20170103,27
20170103,36
20170103,24
20170103,28
20170103,26
20170103,34
20170103,24
20170103,30
20170103,23
20170103,15
20170103,11
20170103,10
20170103,20
20170103,10
20170103,7
20170103,16
20170103,11
20170103,19
20170103,13
20170103,18
20170103,14
20170103,18
20170103,15
20170103,13
20170103,10
20170103,10
20170103,4
20170103,11
20170103,5
20170103,11
20170103,11
20170103,15
20170103,9
20170103,18
20170103,14
20170103,9
20170103,11
20170103,10
20170103,4
20170103,3
20170103,8
20170103,5
20170103,5
20170103,7
20170103,3
20170103,9
20170103,9
20170103,12
20170103,5
20170103,5
20170103,3
20170104,5
20170104,10
20170104,4
20170104,2
20170104,7
20170104,4
20170104,16
20170104,6
20170104,4
20170104,5
20170104,0
20170104,2
20170104,3
20170104,2
20170104,2
20170104,4
20170104,2
20170104,2
20170104,2
20170104,1
20170104,2
20170104,2
20170104,4
20170104,1
20170104,2
20170104,2
20170104,0
20170104,6
20170104,16
20170104,12
20170104,5
20170104,8
20170104,9
20170104,5
20170104,9
20170104,9
20170104,8
20170104,7
20170104,9
20170104,12
20170104,6
20170104,8
20170104,2
20170104,3
20170104,6
20170104,2
20170104,6
20170104,4
20170104,7
20170104,7
20170104,12
20170104,8
20170104,4
20170104,5
20170104,8
20170104,5
20170104,1
20170104,3
20170104,5
20170104,3
20170104,5
20170104,10
20170104,4
20170104,4
20170104,8
20170104,7
20170104,4
20170104,3
20170104,4
20170104,4
20170104,8
20170104,6
20170104,1
20170104,6
20170104,2
20170104,2
20170104,5
20170104,3
20170104,3
20170104,6
20170104,9
20170104,6
20170104,5
20170104,2
20170104,4
20170104,3
20170104,7
20170104,6
20170104,5
20170104,4
20170104,5
20170104,5
20170104,8
20170104,5
20170104,8
20170104,5
20170104,4
20170104,6
20170104,8
20170104,4
20170104,3
20170104,3
20170104,7
20170104,1
20170104,9
20170104,7
20170104,6
20170104,3
20170104,2
20170104,3
20170104,3
20170104,3
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,0
20170104,5
20170104,4
20170104,5
20170104,2
20170104,6
20170104,4
20170104,11
20170104,11
20170104,5
20170104,5
20170104,2
20170104,1
20170104,3
20170104,5
20170104,7
20170104,4
20170104,5
20170104,2
20170104,7
20170104,3
20170104,8
20170104,7
20170104,7
20170104,5
20170104,7
20170104,9
20170104,9
20170104,12
20170104,2
20170104,2
20170104,1
20170104,1
20170104,2
20170104,3
20170104,7
20170104,4
20170104,7
20170104,7
20170104,2
20170104,2
20170104,2
20170104,1
20170104,6
20170104,6
20170104,8
20170104,8
20170104,9
20170104,14
20170104,8
20170104,7
20170104,10
20170104,14
20170104,8
20170104,9
20170104,8
20170104,12
20170104,3
20170104,4
20170104,3
20170104,2
20170104,7
20170104,2
20170104,8
20170104,5
20170104,5
20170104,8
20170104,8
20170104,6
20170104,5
20170104,8
20170104,6
20170104,7
20170104,5
20170104,9
20170104,8
20170104,9
20170104,6
20170104,10
20170104,6
20170104,10
20170104,5
20170104,10
20170104,4
20170104,8
20170104,2
20170104,4
20170104,3
20170104,3
20170104,6
20170104,5
20170104,5
20170104,7
20170104,4
20170104,2
20170104,1
20170104,2
20170104,4
20170104,4
20170104,7
20170104,11
20170104,9
20170104,10
20170104,9
20170104,5
20170104,20
20170104,18
20170104,9
20170104,10
20170104,4
20170104,12
20170104,12
20170104,11
20170104,5
20170104,8
20170104,10
20170104,7
20170104,7
20170104,6
20170104,5
20170104,5
20170104,10
20170104,5
20170104,6
20170104,3
20170104,3
20170104,8
20170104,9
20170104,12
20170104,10
20170104,20
20170104,12
20170104,13
20170104,8
20170104,15
20170104,12
20170104,17
20170104,13
20170104,12
20170104,6
20170104,12
20170104,8
20170104,9
20170104,10
20170104,18
20170104,14
20170104,17
20170104,10
20170104,14
20170104,14
20170104,18
20170104,18
20170104,15
20170104,9
20170104,13
20170104,6
20170104,8
20170104,10
20170104,9
20170104,11
20170104,17
20170104,11
20170104,7
20170104,14
20170104,16
20170104,8
20170104,15
20170104,11
20170104,12
20170104,10
20170104,8
20170104,12
20170104,12
20170104,13
20170104,20
20170104,17
20170104,25
20170104,20
20170104,16
20170104,12
20170104,13
20170104,15
20170104,12
20170104,5
20170104,9
20170104,13
20170104,15
20170104,9
20170104,6
20170104,6
20170104,6
20170104,10
20170104,8
20170104,8
20170104,8
20170104,6
20170104,7
20170104,16
20170104,21
20170104,15
20170104,14
20170104,14
20170104,26
20170104,24
20170104,20
20170104,18
20170104,20
20170104,20
20170104,19
20170104,16
20170104,20
20170104,2
20170104,6
20170104,2
20170104,4
20170104,1
20170104,3
20170104,1
20170104,1
20170104,1
20170104,1
20170104,1
20170104,0
20170104,2
20170104,2
20170104,11
20170104,9
20170104,16
20170104,7
20170104,18
20170104,12
20170104,18
20170104,18
20170104,14
20170104,15
20170104,10
20170104,10
20170104,17
20170104,10
20170104,9
20170104,14
20170104,16
20170104,9
20170104,18
20170104,9
20170104,18
20170104,22
20170104,14
20170104,13
20170104,12
20170104,14
20170104,16
20170104,8
20170104,6
20170104,7
20170104,10
20170104,9
20170104,13
20170104,7
20170104,2
20170104,7
20170104,5
20170104,6
20170104,6
20170104,7
20170104,12
20170104,7
20170104,9
20170104,12
20170104,10
20170104,8
20170104,7
20170104,7
20170104,9
20170104,6
20170104,3
20170104,11
20170104,5
20170104,11
20170104,10
20170104,5
20170104,9
20170104,5
20170104,3
20170104,10
20170104,1
20170104,8
20170104,7
20170104,9
20170104,10
20170104,10
20170104,10
20170104,4
20170104,1
20170104,3
20170104,14
20170104,8
20170104,9
20170104,7
20170104,12
20170104,8
20170104,6
20170104,5
20170104,8
20170104,4
20170104,17
20170104,13
20170104,9
20170104,6
20170104,11
20170104,10
20170104,9
20170104,8
20170104,11
20170104,9
20170104,10
20170104,7
20170104,14
20170104,12
20170104,13
20170104,16
20170104,10
20170104,4
20170104,11
20170104,7
20170104,15
20170104,11
20170104,5
20170104,8
20170104,9
20170104,12
20170104,14
20170104,10
20170104,11
20170104,17
20170104,17
20170104,6
20170104,2
20170104,2
20170104,2
20170104,3
20170104,0
20170104,1
20170104,1
20170104,2
20170104,5
20170104,4
20170104,1
20170104,1
20170104,3
20170104,3
20170104,21
20170104,29
20170104,23
20170104,21
20170104,10
20170104,18
20170104,34
20170104,29
20170104,25
20170104,20
20170104,22
20170104,25
20170104,23
20170104,9
20170104,9
20170104,5
20170104,8
20170104,12
20170104,8
20170104,16
20170104,10
20170104,8
20170104,17
20170104,14
20170104,8
20170104,10
20170104,12
20170104,9
20170104,11
20170104,25
20170104,15
20170104,19
20170104,14
20170104,11
20170104,24
20170104,15
20170104,19
20170104,21
20170104,28
20170104,15
20170104,15
20170104,16
20170104,14
20170104,18
20170104,16
20170104,16
20170104,14
20170104,10
20170104,17
20170104,14
20170104,18
20170104,20
20170104,21
20170104,18
20170104,13
20170104,7
20170104,5
20170104,8
20170104,12
20170104,11
20170104,6
20170104,8
20170104,4
20170104,6
20170104,17
20170104,18
20170104,9
20170104,18
20170104,8
20170104,7
20170104,15
20170104,15
20170104,17
20170104,10
20170104,10
20170104,9
20170104,12
20170104,13
20170104,8
20170104,17
20170104,15
20170104,12
20170104,14
20170104,4
20170104,16
20170104,20
20170104,17
20170104,19
20170104,14
20170104,16
20170104,22
20170104,19
20170104,24
20170104,21
20170104,19
20170104,23
20170104,21
20170104,23
20170104,27
20170104,31
20170104,21
20170104,18
20170104,26
20170104,15
20170104,27
20170104,18
20170104,25
20170104,18
20170104,34
20170104,18
20170104,23
20170104,21
20170104,12
20170104,9
20170104,13
20170104,17
20170104,14
20170104,14
20170104,14
20170104,14
20170104,11
20170104,15
20170104,16
20170104,11
20170104,7
20170104,3
20170104,9
20170104,12
20170104,15
20170104,15
20170104,16
20170104,15
20170104,14
20170104,13
20170104,11
20170104,17
20170104,17
20170104,14
20170104,7
20170104,8
20170104,14
20170104,18
20170104,20
20170104,18
20170104,9
20170104,11
20170104,18
20170104,15
20170104,11
20170104,22
20170104,28
20170104,24
20170104,14
20170104,8
20170104,7
20170104,9
20170104,6
20170104,7
20170104,8
20170104,5
20170104,6
20170104,4
20170104,5
20170104,7
20170104,5
20170104,9
20170104,8
20170104,4
20170104,42
20170104,44
20170104,35
20170104,38
20170104,29
20170104,25
20170104,31
20170104,32
20170104,24
20170104,27
20170104,42
20170104,31
20170104,30
20170104,19
20170104,10
20170104,15
20170104,13
20170104,11
20170104,10
20170104,12
20170104,10
20170104,15
20170104,15
20170104,19
20170104,21
20170104,20
20170104,11
20170104,10
20170104,18
20170104,8
20170104,9
20170104,9
20170104,8
20170104,7
20170104,11
20170104,8
20170104,15
20170104,10
20170104,11
20170104,10
20170104,10
20170104,6
20170104,15
20170104,13
20170104,8
20170104,7
20170104,8
20170104,8
20170104,7
20170104,11
20170104,11
20170104,4
20170104,2
20170104,8
20170104,3
20170104,2
20170105,12
20170105,5
20170105,3
20170105,4
20170105,6
20170105,8
20170105,9
20170105,3
20170105,4
20170105,6
20170105,5
20170105,4
20170105,1
20170105,2
20170105,5
20170105,2
20170105,4
20170105,1
20170105,6
20170105,2
20170105,2
20170105,2
20170105,0
20170105,2
20170105,3
20170105,4
20170105,4
20170105,1
20170105,24
20170105,18
20170105,10
20170105,7
20170105,12
20170105,9
20170105,10
20170105,8
20170105,8
20170105,4
20170105,8
20170105,7
20170105,14
20170105,2
20170105,4
20170105,6
20170105,9
20170105,5
20170105,5
20170105,10
20170105,4
20170105,3
20170105,5
20170105,8
20170105,14
20170105,8
20170105,7
20170105,10
20170105,4
20170105,8
20170105,8
20170105,6
20170105,7
20170105,3
20170105,3
20170105,2
20170105,3
20170105,6
20170105,9
20170105,6
20170105,3
20170105,5
20170105,3
20170105,3
20170105,8
20170105,8
20170105,6
20170105,7
20170105,9
20170105,4
20170105,6
20170105,8
20170105,5
20170105,9
20170105,5
20170105,5
20170105,4
20170105,5
20170105,6
20170105,10
20170105,5
20170105,6
20170105,3
20170105,3
20170105,7
20170105,7
20170105,5
20170105,4
20170105,2
20170105,3
20170105,10
20170105,7
20170105,3
20170105,3
20170105,3
20170105,4
20170105,5
20170105,4
20170105,4
20170105,3
20170105,3
20170105,5
20170105,8
20170105,6
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,0
20170105,9
20170105,6
20170105,4
20170105,8
20170105,10
20170105,12
20170105,9
20170105,2
20170105,8
20170105,6
20170105,5
20170105,4
20170105,2
20170105,4
20170105,4
20170105,8
20170105,8
20170105,6
20170105,8
20170105,9
20170105,7
20170105,3
20170105,7
20170105,7
20170105,4
20170105,8
20170105,7
20170105,9
20170105,2
20170105,3
20170105,4
20170105,2
20170105,2
20170105,3
20170105,2
20170105,2
20170105,2
20170105,5
20170105,4
20170105,1
20170105,2
20170105,4
20170105,4
20170105,1
20170105,8
20170105,9
20170105,7
20170105,10
20170105,3
20170105,5
20170105,5
20170105,11
20170105,5
20170105,6
20170105,6
20170105,8
20170105,4
20170105,2
20170105,7
20170105,5
20170105,6
20170105,4
20170105,9
20170105,5
20170105,4
20170105,6
20170105,6
20170105,11
20170105,7
20170105,7
20170105,3
20170105,9
20170105,5
20170105,3
20170105,7
20170105,11
20170105,9
20170105,4
20170105,11
20170105,11
20170105,5
20170105,15
20170105,12
20170105,5
20170105,9
20170105,2
20170105,1
20170105,3
20170105,5
20170105,1
20170105,2
20170105,4
20170105,3
20170105,1
20170105,3
20170105,2
20170105,4
20170105,0
20170105,9
20170105,13
20170105,5
20170105,10
20170105,10
20170105,8
20170105,13
